"Province","Share Fully Vaccinated","Share Boosted","Share With At Least One Dose","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31"
"New Brunswick",78.9629980391391,19.1938934989339,86.4346713448584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.2908988097562,85.2908988097562,85.2908988097562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Brunswick",78.9629980391391,20.010352136356,86.4346713448584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.3815744566703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Brunswick",78.9629980391391,20.0963680625259,86.4346713448584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.4134368714887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Brunswick",78.9629980391391,20.698983299309,86.4346713448584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.4806879762833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Brunswick",78.9629980391391,21.4056236532463,86.4346713448584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.5372343172061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Brunswick",78.9629980391391,22.3578438842425,86.4346713448584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.6246355657594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Brunswick",78.9629980391391,23.2084318276558,86.4346713448584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.7185856110342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Brunswick",78.9629980391391,24.0500781447763,86.4346713448584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.7998158780614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Brunswick",78.9629980391391,24.5348150405711,86.4346713448584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.836841767218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Brunswick",78.9629980391391,25.0739573245143,86.4346713448584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.8736157795776,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Brunswick",78.9629980391391,25.9965820318649,86.4346713448584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.9537126010183,NA,NA,NA,NA,NA,NA,NA,NA
"New Brunswick",78.9629980391391,27.1058474457804,86.4346713448584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.0338094224591,NA,NA,NA,NA,NA,NA,NA
"New Brunswick",78.9629980391391,28.182116999291,86.4346713448584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.0930004697502,86.0930004697502,NA,NA,NA,NA,NA
"New Brunswick",78.9629980391391,29.2425183145916,86.4346713448584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.1378345396133,86.1378345396133,NA,NA,NA
"New Brunswick",78.9629980391391,30.9280778400053,86.4346713448584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.2778780387361,NA,NA
"New Brunswick",78.9629980391391,31.8310561571913,86.4346713448584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.3510482482598,NA
"New Brunswick",78.9629980391391,32.9845259489773,86.4346713448584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.4346713448584
"Newfoundland and Labrador",86.309612782805,0,94.1664462866933,92.3761943636384,92.8292189350473,92.8292189350473,92.8292189350473,92.8292189350473,92.8292189350473,92.8292189350473,92.8292189350473,92.9693039442266,92.9693039442266,92.9693039442266,92.9693039442266,92.9693039442266,93.1078558753301,93.2076975850188,93.2076975850188,93.2076975850188,93.2076975850188,93.2076975850188,93.2076975850188,93.4487741124436,93.4487741124436,93.4487741124436,93.6298689601515,93.896816180106,93.896816180106,93.896816180106,93.896816180106,94.1664462866933,94.1664462866933,94.1664462866933
"Northwest Territories",81.5299490602494,32.2589144563499,88.8042332689268,87.6932197435447,87.6932197435447,87.6932197435447,87.6932197435447,87.6932197435447,87.6932197435447,87.6932197435447,87.6932197435447,87.6932197435447,87.6932197435447,87.6932197435447,87.6932197435447,87.6932197435447,87.6932197435447,87.6932197435447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Northwest Territories",81.5299490602494,34.8322501317407,88.8042332689268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.1565079922712,88.1565079922712,88.1565079922712,88.1565079922712,88.1565079922712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Northwest Territories",81.5299490602494,36.4899877041981,88.8042332689268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.4529246443,88.4529246443,88.4529246443,88.4529246443,88.4529246443,88.4529246443,88.4529246443,NA,NA,NA,NA
"Northwest Territories",81.5299490602494,38.1213771298085,88.8042332689268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.8042332689268,88.8042332689268,88.8042332689268,88.8042332689268
"Nova Scotia",80.0226413131962,9.03742417060189,87.1904570465087,85.6990705460917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nova Scotia",80.0226413131962,9.86577221478846,87.1904570465087,NA,85.8566796874219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nova Scotia",80.0226413131962,10.5025091455304,87.1904570465087,NA,NA,85.9827870016461,85.9827870016461,85.9827870016461,85.9827870016461,85.9827870016461,85.9827870016461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nova Scotia",80.0226413131962,12.0720001760102,87.1904570465087,NA,NA,NA,NA,NA,NA,NA,NA,86.1474965548002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nova Scotia",80.0226413131962,12.8190435045233,87.1904570465087,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.2392018737087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nova Scotia",80.0226413131962,13.3051716999586,87.1904570465087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.3205065893822,86.3205065893822,86.3205065893822,86.3205065893822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nova Scotia",80.0226413131962,13.4704812879147,87.1904570465087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.3384076276424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nova Scotia",80.0226413131962,15.5152998873935,87.1904570465087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.4728154232945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nova Scotia",80.0226413131962,16.7439711503267,87.1904570465087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.5378191935132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nova Scotia",80.0226413131962,18.070448085989,87.1904570465087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.6114234625608,86.6114234625608,86.6114234625608,86.6114234625608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nova Scotia",80.0226413131962,20.5358910816827,87.1904570465087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.9644439377484,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nova Scotia",80.0226413131962,22.2712917349206,87.1904570465087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.060949535073,NA,NA,NA,NA,NA,NA,NA,NA
"Nova Scotia",80.0226413131962,23.9103868024345,87.1904570465087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.0608495292727,87.0608495292727,87.0608495292727,87.0608495292727,NA,NA,NA,NA
"Nova Scotia",80.0226413131962,28.1878348944239,87.1904570465087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.049348862234,NA,NA,NA
"Nova Scotia",80.0226413131962,29.4561084542903,87.1904570465087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.0874510721622,NA,NA
"Nova Scotia",80.0226413131962,31.0386002388139,87.1904570465087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.1371539549294,NA
"Nova Scotia",80.0226413131962,32.7620001960114,87.1904570465087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.1904570465087
