"date","BC","AB","SK","MB","ON","QC","NB","NS","PE","NL","YT","NT","NU"
2021-02-25,0.0129522512938569,0.0180356610342698,0.0179193934637705,0.0209283631197188,0.0171017527139138,0.000977109954389982,0.0138985616575508,0.0117666824675831,0.0309535367337277,0.0143074511427181,0.0991646146411065,0.0424644300017565,0.103529115200403
2021-02-26,0.0140261420469943,0.0185656347503475,0.0189332062418533,0.0212763662718796,0.0172734738626018,0.00100761214523295,0.0138985616575508,0.0121057021307236,0.0309535367337277,0.0143074511427181,0.0991646146411065,0.0424644300017565,0.103529115200403
2021-02-27,0.0140261420469943,0.0191144002740025,0.0207065365663071,0.0215560630202072,0.017471505503077,0.00102991109535678,0.0138985616575508,0.0121057021307236,0.0309535367337277,0.0143074511427181,0.0991646146411065,0.0424644300017565,0.103529115200403
2021-02-28,0.0140261420469943,0.0196184233986639,0.0222449385144443,0.0218170653843278,0.0175472234832587,0.00104666419260008,0.0138985616575508,0.0121057021307236,0.0309535367337277,0.0143074511427181,0.0991646146411065,0.0424644300017565,0.103529115200403
2021-03-01,0.0159206061981227,0.0197190937963993,0.0225312311594178,0.0218868098177154,0.0176216025071154,0.00106237744242827,0.0138985616575508,0.0128457450532131,0.0309535367337277,0.0143074511427181,0.112811543506777,0.0424644300017565,0.103529115200403
2021-03-02,0.0164451042477881,0.0198072363224164,0.0227501608291035,0.0224886251862248,0.0177342087340523,0.00108074808009506,0.0152914403448697,0.0128917477213678,0.0312771555108083,0.0143074511427181,0.130370745403079,0.100079044440541,0.103604739097555
2021-03-03,0.0164601170542821,0.0199313964796233,0.0230735031104854,0.022976836219938,0.0178556520727345,0.00111564073780178,0.0152914403448697,0.013512783741457,0.0312771555108083,0.0161490611813133,0.146295997974823,0.100079044440541,0.12891353667759
2021-03-04,0.0164848216725635,0.0200862051801407,0.0234187383588358,0.0235498909973598,0.0179499145980182,0.00115168878152529,0.0152914403448697,0.0142198247498355,0.0316007742878889,0.0161490611813133,0.163233838860378,0.100079044440541,0.129190824300479
2021-03-05,0.0165074359000672,0.0202428035766179,0.023530729305252,0.0239395970065977,0.0180131802843769,0.00117456542465751,0.0152914403448697,0.0143958349584276,0.0316007742878889,0.0161490611813133,0.180102639633627,0.100079044440541,0.129669775649105
2021-03-06,0.0165074359000672,0.0203184182309169,0.023582093573909,0.0241236647895588,0.0181177527733635,0.00120264130486524,0.0152914403448697,0.0143958349584276,0.0316007742878889,0.0161490611813133,0.180102639633627,0.100079044440541,0.129669775649105
2021-03-07,0.0165074359000672,0.0203436976863482,0.0235863037598645,0.0242732198632146,0.0181968850921741,0.00121858563189679,0.0152914403448697,0.0143958349584276,0.0316007742878889,0.0161490611813133,0.180102639633627,0.100079044440541,0.129669775649105
2021-03-08,0.0165188380315816,0.0203638317658952,0.0235955661689666,0.0243048565134111,0.0183220105607502,0.00123221918689478,0.0153040341847189,0.0144338371625554,0.0316007742878889,0.0161490611813133,0.200676593100591,0.244840154575795,0.137685908747164
2021-03-09,0.0165213084934098,0.0203886637973366,0.0235980922805398,0.0245572307002054,0.018490518214258,0.00130027142328306,0.0153040341847189,0.0145428434849221,0.0330450729041189,0.0161490611813133,0.203438197592801,0.244840154575795,0.139072346861608
2021-03-10,0.0165254892749651,0.0204157329487277,0.0236216693218906,0.0248232661677663,0.0186920980889947,0.00139177799581196,0.0153040341847189,0.0150868750387522,0.0330450729041189,0.0161490611813133,0.21188410466481,0.244840154575795,0.143130829342072
