"date","BC","AB","SK","MB","ON","QC","NB","NS","PE","NL","YT","NT","NU"
2021-05-10,0,0,0,1.4380295543834e-05,0,1.30558619896024e-05,0,0,0,0,0,0,0
2021-05-11,0,0,0,1.50993103210257e-05,0,1.36335549979919e-05,0,0,0,0,0,0,0
2021-05-12,0,0,0,1.50993103210257e-05,0,1.38646322013477e-05,0,0,0,0,0,0,0
2021-05-13,0,0,0,1.50993103210257e-05,0,1.43267866080593e-05,0,0,0,0,0,0,0
2021-05-14,0,0,0,1.50993103210257e-05,0,1.4673402413093e-05,0,0,0,0,0,0,0
2021-05-15,0,0,0,1.50993103210257e-05,0,1.57132498281941e-05,0,0,0,0,0,0,0
2021-05-16,0,0,0,1.58183250982174e-05,0,1.57132498281941e-05,0,0,0,0,0,0,0
2021-05-17,0,0,0,1.58183250982174e-05,0,1.59443270315499e-05,0,0,0,0,0,0,0
2021-05-18,0,0,0,1.58183250982174e-05,0,1.65220200399394e-05,0,0,0,0,0,0,0
2021-05-19,0,0,0,1.58183250982174e-05,0,1.70997130483289e-05,0,0,0,0,0,0,0
2021-05-20,0,0,0,1.65373398754091e-05,0,1.79084832600742e-05,0,0,0,0,0,0,0
2021-05-21,0,0,0,1.65373398754091e-05,0,1.92949464802089e-05,0,0,0,0,0,0,0
2021-05-22,0,0,0,1.72563546526008e-05,0,1.98726394885984e-05,0,0,0,0,0,0,0
2021-05-23,0,0,0,1.72563546526008e-05,0,1.99881780902763e-05,0,0,0,0,0,0,0
2021-05-24,0,0,0,1.72563546526008e-05,0,2.06814097003437e-05,0,0,0,0,0,0,0
2021-05-25,0,0,0,1.72563546526008e-05,0,2.10280255053774e-05,0,0,0,0,0,0,0
2021-05-26,0,0,0,1.72563546526008e-05,0,2.21834115221564e-05,0,0,0,0,0,0,0
2021-05-27,0,0,0,1.72563546526008e-05,0,2.31077203355796e-05,0,0,0,0,0,0,0
2021-05-28,0,0,0,1.72563546526008e-05,0,2.46097221573922e-05,0,0,0,0,0,0,0
2021-05-29,0,0,0,1.79753694297925e-05,0,2.5996185377527e-05,0,0,0,0,0,0,0
2021-05-30,0,0,0,1.86943842069842e-05,0,2.70360327926281e-05,0,0,0,0,0,0,0
2021-05-31,0,0,0,1.94133989841759e-05,0,2.76137258010176e-05,0,0,0,0,0,0,0
2021-06-01,0,0,0,1.94133989841759e-05,0,2.92312662245081e-05,0,0,0,0,0,0,0
2021-06-02,0,0,0,1.94133989841759e-05,0,3.32751172832346e-05,0,0,0,0,0,0,0
2021-06-03,0,0,0,1.94133989841759e-05,0,3.52392735117588e-05,0,0,0,0,0,0,0
2021-06-04,0,0,0,2.08514285385593e-05,0,3.83588157570621e-05,0,0,0,0,0,0,0
2021-06-05,0,0,0,2.1570443315751e-05,0,3.89365087654516e-05,0,0,0,0,0,0,0
2021-06-06,0,0,0,2.1570443315751e-05,0,4.05540491889421e-05,0,0,0,0,0,0,0
2021-06-07,0,0,0,2.1570443315751e-05,0,4.10162035956537e-05,0,0,0,0,0,0,0
2021-06-08,0,0,0,2.22894580929427e-05,0,4.25182054174664e-05,0,0,0,0,0,0,0
2021-06-09,0,0,0,2.22894580929427e-05,0,4.40202072392791e-05,0,0,0,0,0,0,0
2021-06-10,0,0,0,2.30084728701344e-05,0,4.66775950778707e-05,0,0,0,0,0,0,0
2021-06-11,0,0,0,2.37274876473261e-05,0,4.85262127047171e-05,0,0,0,0,0,0,0
2021-06-12,0,0,0,2.37274876473261e-05,0,5.18768321533761e-05,0,0,0,0,0,0,0
2021-06-13,0,0,0,2.44465024245178e-05,0,5.47652971953235e-05,0,0,0,0,0,0,0
2021-06-14,0,0,0,2.51655172017095e-05,0,5.83469938473384e-05,0,0,0,0,0,0,0
2021-06-15,0,0,0,2.58845319789012e-05,0,6.2159767702709e-05,0,0,0,0,0,0,0
2021-06-16,0,0,0,2.66035467560929e-05,0,6.57414643547238e-05,0,0,0,0,0,0,0
2021-06-17,0,0,0,2.80415763104763e-05,0,6.92076224050608e-05,0,0,0,0,0,0,0
2021-06-18,0,0,0,2.94796058648597e-05,0,7.29048576587535e-05,0,0,0,0,0,0,0
2021-06-19,0,0,0,2.94796058648597e-05,0,8.00682509627832e-05,0,0,0,0,0,0,0
2021-06-20,0,0,0,2.94796058648597e-05,0,8.21479457929853e-05,0,0,0,0,0,0,0
2021-06-21,0,0,0,3.01986206420514e-05,0,8.38810248181538e-05,0,0,0,0,0,0,0
2021-06-22,0,0,0,3.09176354192431e-05,0,8.79248758768802e-05,0,0,0,0,0,0,0
2021-06-23,0,0,0,3.30746797508182e-05,0,9.28930357490298e-05,0,0,0,0,0,0,0
2021-06-24,0,0,0,3.52317240823933e-05,0,0.000100980737866483,0,0,0,0,0,0,0
2021-06-25,0,0,0,3.88267979683518e-05,0,0.000103407048501719,0,0,0,0,0,0,0
2021-06-26,0,0,0,3.95458127455435e-05,0,0.000108375208373868,0,0,0,0,0,0,0
